CustomerID,FirstName,LastName,Email,Phone,Country,SignupDate
48,James,Walker,james.walker@yahoo.com,+1-720-686-8364x6725,French Guiana,2024-08-01
49,Patricia,Houston,patricia.houston@yahoo.com,338-683-4336,Poland,2024-08-20
50,Corey,Richardson,corey.richardson@hotmail.com,376.101.4245,Bahrain,2023-05-16
51,Nathan,Lester,nathan.lester@gmail.com,+1-879-591-9345,Saint Martin,2023-10-22
52,Brandon,Harris,brandon.harris@gmail.com,(725)745-5176x574,Dominican Republic,2023-05-10
53,Phillip,Taylor,phillip.taylor@gmail.com,(892)151-2199x892,Dominican Republic,2024-07-21
54,Ronald,Mendoza,ronald.mendoza@hotmail.com,427.106.0080x275,Northern Mariana Islands,2024-02-13
55,Tony,Bennett,tony.bennett@yahoo.com,+1-375-116-4513x5697,United States of America,2024-10-17
56,Matthew,Kane,matthew.kane@hotmail.com,984-364-8780x3587,Netherlands Antilles,2023-05-12
57,Christopher,Macias,christopher.macias@hotmail.com,001-911-853-0263x795,Uruguay,2024-01-25
58,Shelly,Mitchell,shelly.mitchell@gmail.com,786-397-6696x26761,Cyprus,2024-08-03
59,Christine,Peck,christine.peck@hotmail.com,+1-728-953-8036x78761,Venezuela,2024-04-09
60,Elizabeth,Ferguson,elizabeth.ferguson@yahoo.com,843-388-0657x2081,Nauru,2023-09-04
61,Harold,Parker,harold.parker@hotmail.com,825-510-4097x330,Hong Kong,2023-12-29
62,Bobby,Simmons,bobby.simmons@yahoo.com,100-444-3235x53199,Solomon Islands,2024-04-27
63,Antonio,Rogers,antonio.rogers@gmail.com,001-276-975-4323x3312,Benin,2024-06-23
64,Abigail,Spears,abigail.spears@yahoo.com,(642)766-5304x24469,Cuba,2025-03-10
65,Jacqueline,Cox,jacqueline.cox@hotmail.com,+1-843-487-5104x59199,Iceland,2023-10-27
66,Alyssa,Patterson,alyssa.patterson@hotmail.com,+1-565-651-2084,Cote d'Ivoire,2023-11-17
67,James,Swanson,james.swanson@yahoo.com,+1-537-267-5972x06482,Croatia,2023-06-24
68,Robert,Reilly,robert.reilly@hotmail.com,7123737380,Turks and Caicos Islands,2023-12-11
69,Melissa,White,melissa.white@yahoo.com,(984)238-0774x962,Kyrgyz Republic,2024-01-17
70,Denise,Reyes,denise.reyes@hotmail.com,819-322-1032x9982,Ecuador,2025-02-02
71,Maurice,Cole,maurice.cole@hotmail.com,412-993-4020,Puerto Rico,2023-06-08
72,Julia,Thomas,julia.thomas@yahoo.com,(609)512-2545x089,Andorra,2024-10-16
73,Christine,Lewis,christine.lewis@gmail.com,208-812-0166x397,Barbados,2023-05-03
74,Lisa,Gibbs,lisa.gibbs@yahoo.com,322.024.9425,Grenada,2024-12-24
75,James,Warren,james.warren@yahoo.com,+1-053-268-0430,Guinea,2024-09-28
76,Anthony,Duncan,anthony.duncan@yahoo.com,001-277-052-9497,Afghanistan,2024-08-11
77,Justin,Matthews,justin.matthews@yahoo.com,540-833-2682x3106,Thailand,2025-03-09
78,Jesse,Vasquez,jesse.vasquez@gmail.com,+1-841-957-7611,Uzbekistan,2023-11-02
79,Beth,Fisher,beth.fisher@hotmail.com,544-583-2557x55799,Liberia,2024-06-23
80,Matthew,Sullivan,matthew.sullivan@hotmail.com,001-783-883-2310x9347,Colombia,2024-12-11
81,John,Wallace,john.wallace@yahoo.com,147.069.4679x7685,Chile,2023-09-26
82,Kimberly,Martin,kimberly.martin@hotmail.com,721-151-1666x03038,Chad,2023-12-30
83,Veronica,Clark,veronica.clark@yahoo.com,005-948-1675,Australia,2024-08-11
84,David,Blair,david.blair@hotmail.com,617.137.2258x08209,Croatia,2025-03-10
85,Melissa,Farrell,melissa.farrell@hotmail.com,129-266-5357x152,Afghanistan,2024-03-29
86,Molly,Villegas,molly.villegas@hotmail.com,738-565-6582,American Samoa,2025-01-01
87,Marcus,Long,marcus.long@yahoo.com,008.142.6408,Egypt,2025-03-21
88,Lucas,Mcdowell,lucas.mcdowell@yahoo.com,231.570.9078x72784,Monaco,2025-03-06
89,Timothy,Bennett,timothy.bennett@hotmail.com,648.056.0256,Saint Vincent and the Grenadines,2023-12-03
90,Lori,Wolfe,lori.wolfe@hotmail.com,(024)874-5808,Guadeloupe,2024-12-31
91,Michael,Padilla,michael.padilla@gmail.com,390.916.2441x8301,Croatia,2023-10-04
92,Gregory,Carroll,gregory.carroll@yahoo.com,(715)592-7387x264,Mayotte,2024-10-16
93,Brandi,Davis,brandi.davis@hotmail.com,001-639-809-8215x639,Sudan,2024-05-12
94,David,Day,david.day@yahoo.com,375-340-5940x1699,Seychelles,2024-08-22
95,Laura,Johnson,laura.johnson@yahoo.com,614.393.1112x8320,Sweden,2023-07-09
96,Robert,Collins,robert.collins@gmail.com,192.292.4514,Grenada,2024-12-12
97,Amy,Curtis,amy.curtis@gmail.com,112.387.7762x0445,Vietnam,2023-11-10
98,Travis,Faulkner,travis.faulkner@gmail.com,+1-368-325-6627,Wallis and Futuna,2025-03-19
99,Joshua,Brown,joshua.brown@hotmail.com,557-723-6817x28287,Northern Mariana Islands,2024-01-16
100,Paul,Santos,paul.santos@yahoo.com,(910)755-6566x77886,Netherlands Antilles,2024-04-23
